station,catchment,district,lat,lon
ACHNERA,406,CHITTORGARH,"24031"" N","74020"" E"
BHADESAR,105,CHITTORGARH,"24023"" N","74042"" E"
CHHOTISADRI,406,CHITTORGARH,"24031"" N","74020"" E"
BARISADRI,105,CHITTORGARH,"24005"" N","74011"" E"
DUNGLA,404,CHITTORGARH,"24058"" N","75032"" E"
BHOPAL SAGAR,406,CHITTORGARH,"25002"" N","74050"" E"
DHARIAWAD,406,CHITTORGARH,"24053"" N","74038"" E"
CHITTORGARH,406,CHITTORGARH,"24053"" N","74038"" E"
KAPASAN ,406,CHITTORGARH,"24053"" N","74019"" E"
PRATAPGARH,105,CHITTORGARH,"24003"" N","74047"" E"
NIMBAHERA,406,CHITTORGARH,"24037"" N","74042"" E"
GANGRAR,406,CHITTORGARH,"25003"" N","74037"" E"
RASHMI,406,CHITTORGARH,"25004"" N","74021"" E"
BEGUN,404,CHITTORGARH,"24059"" N","75008"" E"
BHENSRODGARDH,404,CHITTORGARH,"24059"" N","75008"" E"
ACHNERA,404,CHITTORGARH,"24059"" N","75008"" E"
BHADESAR,406,CHITTORGARH,"24041"" N","74030"" E"
CHHOTI SADRI ,406,CHITTORGARH,"24025"" N","74029"" E"
BARI SADRI ,105,CHITTORGARH,"24023"" N","74042"" E"
DUNGLA,406,CHITTORGARH,"24031"" N","74020"" E"
BHOPAL SAGAR *,406,,"25002"" N","74050"" E"
CHITTORGARH,406,CHITTORGARH,"24053"" N","74038"" E"
KAPASAN ,406,CHITTORGARH,"24053"" N","74019"" E"
PRATAPGARH,105,CHITTORGARH,"24003"" N","74047"" E"
NIMBAHERA,406,CHITTORGARH,"24037"" N","74042"" E"
GANGRAR,406,CHITTORGARH,"25003"" N","74037"" E"
RASHMI,406,CHITTORGARH,"25004"" N","74021"" E"
BEGUN,404,CHITTORGARH,"24059"" N","75008"" E"
BHENSRODGARDH,404,CHITTORGARH,"24059"" N","75008"" E"
ACHNERA,404,CHITTORGARH,"24059"" N","75008"" E"
BHADESAR,406,CHITTORGARH,"24041"" N","74030"" E"
CHHOTI SADRI ,406,CHITTORGARH,"24025"" N","74029"" E"
